X,Norm_BV2_control_1_cell,Norm_BV2_TGFB_1_cell,Norm_BV2_IL10_1_cell,Norm_BV2_LPS_1_cell,Norm_BV2_control_2_cell,Norm_BV2_TGFB_2_cell,Norm_BV2_IL10_2_cell,Norm_BV2_LPS_2_cell,Norm_BV2_control_3_cell,Norm_BV2_TGFB_3_cell,Norm_BV2_IL10_3_cell,Norm_BV2_LPS_3_cell,Norm_BV2_control_4_cell,Norm_BV2_TGFB_4_cell,Norm_BV2_IL10_4_cell,Norm_BV2_LPS_4_cell
Fasn,18.11690712,18.12362671,16.17396545,19.11720276,19.96135902,18.17526436,16.27396584,17.8985424,18.74764633,15.27800751,17.22132874,17.22371674,18.11295128,16.64440536,17.4925251,19.12808037
Psmc4,18.14767265,16.03812027,14.52534771,19.21851158,19.91536331,14.96528244,17.62605286,17.64395142,18.55997658,12.37385178,14.75623322,15.79875374,16.21814537,14.21123886,15.65311718,15.43470001
env,21.77200699,15.37608814,17.91056061,16.16949844,21.50224686,18.89005852,18.36071968,17.90770912,16.36437607,17.78837395,17.50358963,15.96126938,20.26495171,18.18941879,18.1412487,14.44138527
Cdo1,20.40387917,15.26672173,14.85975266,18.23822975,19.29902458,14.0604496,15.59516525,19.66415787,18.55476189,12.49231339,19.13477325,18.3510704,19.83086014,17.85636139,14.97979736,15.09528255
H2-D1;H-2D;H2-L,16.98225021,17.01469231,16.70841789,17.96385193,16.13558388,17.37218094,17.24108696,17.77524948,17.72779846,16.28671265,14.99295521,17.65450478,19.2437191,15.66434383,14.6231451,19.41739273
Sdcbp,20.35972404,21.54161453,23.21479034,14.21834564,18.57784843,23.00869942,22.54018784,18.30381393,16.32967567,23.13217354,17.35551834,19.66036034,19.99957085,22.28287125,19.34619522,18.576931
Atox1,14.33097649,18.66384125,19.32074356,18.93899155,12.60425663,15.06797695,19.30097389,19.61187553,18.41128159,17.08209801,18.97172737,17.21132278,16.01788712,18.53775215,20.25137138,15.5596056
Eif6,17.16706657,17.20693588,16.54038811,18.0911274,16.86175346,15.3423233,17.1167469,18.45734978,18.19137573,15.06350422,14.25975895,15.9945507,17.71030426,13.58848572,15.15234947,18.76834106
Eif3d,19.62293053,18.9933548,15.3040657,19.08612442,19.92061424,13.8936224,15.13500595,19.86189842,19.88711166,16.65081024,18.90296745,16.3132782,19.79221344,17.88425064,14.33598232,19.49803925
H2-K1,15.37385273,15.33079433,18.78860474,18.41080666,16.98184967,14.3845129,13.96777439,17.90985107,16.25551987,15.51474857,15.18192387,16.64987183,18.63809013,14.24318027,14.95186996,18.98730087
Lpl,19.23748779,15.31427097,17.52873039,18.45999146,22.61568642,18.63725471,17.86873627,18.28265762,17.94891548,16.72917938,17.33836555,16.56478119,19.57973671,16.86979294,17.15390015,18.87193489
Gba,17.28430176,16.54065704,14.58135128,17.79826736,17.68647575,13.58890533,14.47859383,16.61572266,17.87888336,17.00159264,14.73934555,16.80394745,18.46546364,14.44016171,14.33667374,20.05925369
M6pr,18.6114006,17.77763367,17.62989807,18.65185738,19.26278114,14.48000336,15.16952991,19.32715225,18.87627792,17.39335632,15.06623554,14.50905132,19.93370819,17.08124733,15.31693172,18.91015816
Sars,19.40415955,19.15328598,17.78630829,19.65761757,19.89221382,15.2729311,16.51228714,18.83868599,19.36924171,16.31989288,17.90741539,17.90955734,17.63673973,14.9816246,17.38950157,19.75257492
Wars,17.58049011,16.77375603,15.83921432,17.91273499,18.63324547,15.43331432,13.22386265,16.99428177,17.32048035,13.72571659,14.56230545,16.69838524,16.56089973,14.94852543,15.94293404,16.30960464
Cct8;Cctq,19.04530144,17.67529678,15.58084297,19.48664856,19.84307098,14.78054523,14.27074814,15.55948639,17.83036423,13.43799496,16.38428879,16.79863358,16.1426754,14.53646946,15.4825325,18.33704948
Actr2,17.23698997,16.35993195,16.30407715,18.64599419,18.96298599,14.83150101,13.28063393,15.48911858,17.65095329,15.11111069,14.41479778,15.00924397,16.62334824,14.39180756,15.08150959,16.32446671
Rps23,19.00676727,16.81142616,18.13183212,17.70089149,16.12077904,14.42164803,18.00150681,18.65138245,19.38302231,17.03608322,18.01842308,18.60848236,18.3412056,17.03006744,18.77807045,18.3936367
Rps6,19.29959679,19.11655807,14.73549747,19.65164566,18.52539063,14.30783367,16.83580208,18.47732353,18.9613018,12.35705376,14.84448051,16.3976841,19.26284599,17.74101257,15.04095078,18.51606178
Cct4,18.26026154,17.90981865,15.41495228,19.20747757,19.88727188,13.97205925,15.94134235,17.43606377,18.03370285,13.75828075,14.66892433,17.94460678,18.23057747,13.44205856,15.14251137,19.34099007
Cct5,19.29673767,19.09446907,17.10647583,19.32786751,20.14512253,15.75481129,16.6787529,17.87485123,18.65050507,14.87187862,17.29214478,17.48465538,18.54269981,15.4432888,17.47459793,18.81655693
Prkdc,19.86267281,15.64728642,15.00596619,17.74752235,18.78556824,17.42528915,16.25648499,15.84370995,17.73187637,15.33518982,15.04465961,13.33679581,16.36368942,14.3710413,15.17149067,14.3907156
Eif3g,17.82688713,16.93241882,16.79449463,18.38779068,20.41456985,14.41693306,14.34651566,16.86867523,18.11605835,16.45744514,14.51656723,17.41026688,16.16149521,14.74913979,15.13974857,19.42299843
Asns,15.46358681,13.9568882,14.89305401,16.5560379,17.41969872,15.1450386,17.2981987,16.26272774,17.32273293,11.7145462,14.94762039,15.01983356,15.30632019,14.4018383,14.52459049,17.16244507
Rbbp7,17.8957901,17.56444168,14.20720863,17.60523605,18.69083214,15.31598759,16.28874016,16.45085526,17.84745026,11.81681728,14.41211414,15.75589561,16.20596313,13.48027515,15.54125977,18.12048531
Scamp3;Tu52,18.64945984,16.89942741,18.66093063,18.31149101,18.80921555,14.22051334,17.28178406,19.46365547,17.90092468,16.76900291,13.90392017,16.66720772,19.16863441,14.73385048,15.36377621,18.36295509
Cltc;mKIAA0034,21.92766762,20.81371498,21.15168953,20.80926704,22.10740852,20.45036888,19.96503258,20.88625908,21.03279114,19.07078934,20.17484093,18.41124535,21.81933212,19.07926369,18.88661003,19.72978401
Tfrc,20.43721199,16.52184868,17.86508751,17.36176872,20.26548195,17.31988335,17.47978592,18.07675552,17.4883976,16.90044975,14.86427212,16.63145065,19.36608505,16.91116905,16.63648033,19.39328957
Rps9,19.77936745,18.98371315,17.56123734,19.33236504,19.75774002,14.59996605,17.45796013,16.81916046,18.33182526,15.34005737,18.7651844,17.04746246,19.22695351,15.51293755,16.51560974,18.08220291
Eif3b,19.74530792,19.06334686,18.07790184,18.81038666,19.35575676,14.51794815,15.09096336,19.67784691,19.32728767,17.15082169,17.31113052,16.57200813,20.82249641,14.10989094,15.42045212,20.58214951
Napa,17.09667206,14.72713757,16.72875404,17.13650322,14.48320866,15.13145447,15.26069546,15.21100807,16.5547905,12.70861053,14.75844955,15.23929596,16.12552071,13.49285603,15.78518391,16.23477936
Eef1g,20.29909897,20.07256317,16.71815681,20.74207497,20.97375107,17.1602478,15.9010725,19.32144928,20.20004654,14.69633198,17.04506683,17.78990364,17.73098373,15.43392849,16.71617889,19.62890244