Geneid,control cells_1,control cells_2,control cells_3,TGFB cells_1,TGFB cells_2,TGFB cells_3
mmu-mir-6341,0,5,0,0,0,1
mmu-mir-206,0,0,0,0,0,0
mmu-mir-133b,0,0,0,0,0,0
mmu-mir-30a,226,301,208,214,236,229
mmu-mir-30c-2,71,89,57,50,54,44
mmu-mir-6342,0,0,0,0,0,0
mmu-mir-6896,0,0,0,0,1,0
mmu-mir-5103,0,0,0,0,0,0
mmu-mir-6897,0,0,0,0,0,0
mmu-mir-6898,0,0,0,0,0,0
mmu-mir-6349,0,0,0,0,0,0
mmu-mir-6350,0,0,0,0,0,0
mmu-mir-7681,0,0,0,0,0,1
mmu-mir-6899,0,0,0,0,0,0
mmu-mir-6351,0,0,0,0,0,0
mmu-mir-1928,0,0,0,0,0,0
mmu-mir-26b,56,53,38,48,62,41
mmu-mir-375,0,0,0,0,0,0
mmu-mir-6343,0,0,0,0,0,0
mmu-mir-6352,0,1,0,0,0,0
mmu-mir-6344,0,0,0,0,0,0
mmu-mir-6353,0,0,0,0,0,0
mmu-mir-5126,1271,1589,1268,1325,1798,1565
mmu-mir-8096,0,0,0,0,0,0
mmu-mir-3535,10564,14184,8994,8758,9909,11152
mmu-mir-6900,0,0,0,3,0,1
mmu-mir-149,0,0,0,0,0,0
mmu-mir-6901,0,1,0,0,0,0
mmu-mir-6902,0,0,0,0,0,0
mmu-mir-6345,0,0,0,0,0,0
mmu-mir-3473f,0,5,4,0,1,0
mmu-mir-6346,0,0,0,0,0,0
mmu-mir-128-1,32,35,43,17,28,22
mmu-mir-135b,0,0,0,0,0,0
mmu-mir-6903,0,0,0,0,0,0
mmu-mir-1231,0,0,0,2,0,0
mmu-mir-181a-1,17,24,38,34,22,44
mmu-mir-181b-1,7,8,2,8,4,6
mmu-mir-7682,4,2,1,0,0,3
mmu-mir-8114,16,34,20,22,23,24
mmu-mir-488,0,0,0,0,0,0
mmu-mir-1843b,989,2064,898,1291,648,596
mmu-mir-1927,0,0,0,0,0,0
mmu-mir-199a-2,50,96,62,44,93,73
mmu-mir-214,3,1,0,2,0,1
mmu-mir-6347,0,0,0,0,0,0
mmu-mir-6348,0,0,0,0,0,0
mmu-mir-6354,0,0,0,0,0,0
mmu-mir-6546,29,35,19,6,17,18
mmu-mir-7683,0,0,0,0,0,0
mmu-mir-350,17,16,17,17,25,24
mmu-mir-6904,0,0,0,1,0,1
mmu-mir-1981,24,45,33,23,7,8
mmu-mir-664,146,252,172,134,111,146
mmu-mir-194-1,9,4,5,5,1,5
mmu-mir-215,0,0,0,0,0,0
mmu-mir-3473c,0,0,0,0,0,1
mmu-mir-205,0,0,0,0,0,0
mmu-mir-3962,1,2,2,0,2,3
mmu-mir-29b-2,49,36,60,22,35,27
mmu-mir-29c,101,92,102,104,118,89
mmu-mir-5104,0,0,0,0,0,0
mmu-mir-6413,0,0,0,0,0,0
mmu-mir-7663,0,0,0,0,0,0
mmu-mir-6905,1,0,0,0,0,0
mmu-mir-3473b,0,0,0,0,0,0
mmu-mir-1929,0,0,0,0,0,0
mmu-mir-6906,0,0,0,0,0,0
mmu-mir-6408,0,0,0,0,0,0
mmu-mir-466j,0,0,0,0,0,1
mmu-mir-5108,0,1,0,1,0,0
mmu-mir-7662,0,0,0,0,0,0
mmu-mir-7215,0,0,0,0,0,0
mmu-mir-6409,0,0,0,0,0,0
mmu-mir-678,1,6,1,0,1,5
mmu-mir-1930,0,0,0,0,1,0
mmu-mir-7659,0,0,0,0,0,0
mmu-mir-6907,0,0,0,0,0,0
mmu-mir-6410,0,0,0,0,0,0
mmu-mir-6908,0,1,0,0,0,0
mmu-mir-6909,1,0,0,0,1,0
mmu-mir-6910,0,0,0,0,0,1
mmu-mir-6911,1,2,1,0,0,0
mmu-mir-6912,2,0,2,0,0,0
mmu-mir-1982,6,23,2,5,13,11
mmu-mir-5615-1,0,0,0,0,0,0
mmu-mir-5615-2,0,0,0,0,0,0
mmu-mir-3057,10,6,11,1,6,3
mmu-mir-6913,1,0,0,0,0,1
mmu-mir-1191b,0,0,0,0,0,0
mmu-mir-135a-2,0,0,0,0,0,0
mmu-mir-1251,0,0,0,0,0,0
mmu-mir-1931,1,9,3,4,4,3
mmu-mir-7688,1,1,2,2,0,1
mmu-mir-331,284,391,310,195,236,170
mmu-mir-7211,0,0,0,0,0,0
mmu-mir-3058,1,0,0,0,0,0
mmu-mir-3966,0,0,0,0,0,0
mmu-mir-3059,0,0,0,0,0,0
mmu-mir-6411,0,0,0,0,0,0
mmu-mir-763,0,0,0,0,0,0
mmu-mir-6412,0,0,0,0,0,0
mmu-mir-8104,1,0,0,0,0,1
mmu-let-7i,654,851,618,905,1065,999
mmu-mir-378d,36,23,18,13,16,23
mmu-mir-26a-2,38,52,30,22,45,30
mmu-mir-546,0,0,0,0,0,0
mmu-mir-677,6850,10684,6702,4610,5163,4457
mmu-mir-6914,0,0,0,0,1,0
mmu-mir-6915,1,0,0,1,0,0
mmu-mir-8105,0,0,0,0,0,0
mmu-mir-6916,2,0,1,0,0,1
mmu-mir-6917,0,0,0,0,0,0
mmu-mir-3060,3,3,1,0,3,1
mmu-mir-6918,0,0,0,0,0,0
mmu-mir-7651,0,0,0,0,0,0
mmu-mir-1933,4,1,2,0,1,0
mmu-mir-6372,0,0,0,0,0,0
mmu-mir-216b,0,0,0,0,0,0
mmu-mir-216c,0,0,0,0,0,0
mmu-mir-216a,0,0,0,0,0,0
mmu-mir-217,0,0,0,0,0,0
mmu-mir-218-2,0,0,0,0,0,0
mmu-mir-103-1,124,122,107,58,90,87
mmu-mir-146a,315,434,346,312,454,353
mmu-mir-8100,0,0,0,0,0,0
mmu-mir-7239,0,0,0,0,0,0
mmu-mir-340,86,125,76,65,67,62
mmu-mir-6919,0,2,0,0,0,0
mmu-mir-804,0,0,0,0,0,0
mmu-mir-3061,0,0,0,2,0,0
mmu-mir-6920,0,1,0,0,0,0
mmu-mir-7671,0,2,1,3,1,0
mmu-mir-7652,0,0,0,0,0,0
mmu-mir-6921,2,1,0,0,0,1
mmu-mir-6922,0,0,1,0,1,1
mmu-mir-5100,37,42,40,21,17,29
mmu-mir-744,646,668,562,689,730,845
mmu-mir-6923,0,0,0,0,0,0
mmu-mir-6406,0,0,0,0,0,0
mmu-mir-3062,0,0,0,0,0,0
mmu-mir-467f,0,0,0,0,0,0
mmu-mir-1934,4,7,0,2,2,2
mmu-mir-6924,1,0,0,0,0,0
mmu-mir-324,199,248,209,214,273,230
mmu-mir-497b,0,0,0,0,0,0
mmu-mir-497a,5,3,3,1,3,0
mmu-mir-195a,1,1,1,1,1,2
mmu-mir-7115,1,1,1,0,0,0
mmu-mir-6925,0,0,1,0,0,0
mmu-mir-6338,0,0,0,0,0,0
mmu-mir-6926,0,2,0,0,2,0
mmu-mir-212,6,7,0,0,2,4
mmu-mir-132,1,3,4,1,4,3
mmu-mir-22,28,34,37,37,29,32
mmu-mir-3971,0,0,0,0,0,0
mmu-mir-423,880,1079,764,664,769,873
mmu-mir-144,0,0,0,0,0,0
mmu-mir-451a,0,0,0,0,0,0
mmu-mir-451b,0,0,0,0,0,0
mmu-mir-7653,0,0,0,0,4,1
mmu-mir-193a,22,37,24,10,21,29
mmu-mir-365-2,49,72,59,21,45,30
mmu-mir-7679,4,0,0,0,0,0
mmu-mir-5110,0,0,0,0,0,0
mmu-mir-21a,440,644,506,183,253,221
mmu-mir-301a,30,39,42,33,37,29
mmu-mir-142b,1,1,0,0,0,0
mmu-mir-142a,851,1287,975,808,1006,984
mmu-mir-378b,46,36,31,31,43,40
mmu-mir-3063,0,0,0,0,0,0
mmu-mir-196a-1,2,7,1,4,4,5
mmu-mir-10a,0,1,0,0,0,0
mmu-mir-152,0,2,1,0,0,0
mmu-mir-8103,0,1,0,0,0,0
mmu-mir-7235,0,0,1,1,0,0
mmu-mir-6927,0,0,0,0,0,0
mmu-mir-8102,4,2,1,0,2,1
mmu-mir-5119,0,0,0,0,0,0
mmu-mir-7116,0,0,0,0,0,0
mmu-mir-6928,0,0,0,0,1,0
mmu-mir-6929,1,0,0,0,0,0
mmu-mir-8101,5,1,3,2,8,1
mmu-mir-6930,0,0,0,0,0,0
mmu-mir-6931,0,0,1,0,0,0
mmu-mir-3064,0,0,0,1,1,1
mmu-mir-6932,0,0,0,0,0,0
mmu-mir-7223,0,0,0,0,0,0
mmu-mir-3968,16,43,21,18,19,21
mmu-mir-5621,1,0,0,0,0,0
mmu-mir-6516,735,1283,857,730,705,486
mmu-mir-6933,0,0,0,0,0,0
mmu-mir-6934,0,0,0,0,0,0
mmu-mir-1932,0,0,0,0,0,1
mmu-mir-338,7,7,8,8,3,7
mmu-mir-3065,0,0,0,0,0,0
mmu-mir-6935,0,0,1,0,0,0
mmu-mir-6936,2,1,2,1,3,7
mmu-mir-7236,0,0,0,0,0,0
mmu-mir-7675,0,0,0,0,0,0
mmu-mir-6387,0,0,0,0,0,0
mmu-mir-3066,1,0,0,0,2,2
mmu-mir-6538,3,7,1,0,3,0
mmu-mir-6937,2,0,0,0,0,0
mmu-mir-680-3,0,0,0,0,0,0
mmu-mir-5099,35148,59096,33218,34223,32124,44409
mmu-mir-1938,0,0,1,0,0,0
mmu-mir-5627,0,3,0,2,0,1
mmu-mir-1892,4,11,0,6,2,5
mmu-mir-681,0,0,0,0,0,0
mmu-mir-5101,0,0,0,0,0,0
mmu-mir-5135,0,0,0,0,0,0
mmu-mir-1843a,327,664,364,499,380,336
mmu-mir-3067,0,1,0,0,0,0
mmu-mir-6938,0,0,0,0,0,0
mmu-mir-3068,1286,2678,1278,1736,1164,1656
mmu-mir-8099-2,0,0,1,0,1,1
mmu-mir-1190,0,0,0,0,0,0
mmu-mir-1936,0,0,0,0,0,0
mmu-mir-3069,300,434,326,314,308,257
mmu-mir-342,18,26,19,16,15,18
mmu-mir-345,33,38,27,17,29,27
mmu-mir-1906-1,0,0,0,0,0,0
mmu-mir-770,0,0,0,0,0,0
mmu-mir-673,0,1,0,0,0,0
mmu-mir-493,0,0,0,0,0,0
mmu-mir-337,0,0,0,0,0,0
mmu-mir-3544,0,0,0,0,0,0
mmu-mir-540,0,0,0,0,0,0
mmu-mir-665,0,0,0,0,0,0
mmu-mir-3070-1,0,0,0,0,0,0
mmu-mir-3070-2,0,1,0,0,0,0
mmu-mir-431,0,0,0,0,0,0
mmu-mir-433,0,0,0,0,0,0
mmu-mir-127,0,0,0,0,0,0
mmu-mir-434,0,0,0,0,0,0
mmu-mir-432,0,0,0,0,0,0
mmu-mir-3071,0,0,0,0,0,0
mmu-mir-136,0,0,0,0,0,0
mmu-mir-341,0,0,0,0,0,0
mmu-mir-1188,0,0,0,0,0,0
mmu-mir-370,0,0,0,0,0,0
mmu-mir-882,0,0,0,0,0,0
mmu-mir-379,0,0,0,0,0,0
mmu-mir-411,0,0,0,0,0,0
mmu-mir-299a,0,0,0,0,0,0
mmu-mir-299b,0,0,0,0,0,0
mmu-mir-380,0,0,0,0,0,0
mmu-mir-1197,0,0,0,0,0,0
mmu-mir-323,0,0,2,0,0,0
mmu-mir-758,0,0,0,0,0,0
mmu-mir-329,0,0,0,0,0,0
mmu-mir-494,0,0,0,0,1,0
mmu-mir-679,0,0,0,0,0,0
mmu-mir-1193,0,0,0,0,0,0
mmu-mir-666,0,0,0,0,0,0
mmu-mir-543,0,0,0,0,0,0
mmu-mir-495,0,0,0,0,0,0
mmu-mir-667,0,0,0,0,0,0
mmu-mir-376c,0,0,0,0,0,0
mmu-mir-654,0,0,0,0,0,0
mmu-mir-376b,0,0,0,0,0,0
mmu-mir-376a,0,0,0,0,0,0
mmu-mir-300,0,0,0,0,0,0
mmu-mir-381,0,0,0,0,0,0
mmu-mir-487b,0,0,0,0,0,0
mmu-mir-539,0,0,0,0,0,0
mmu-mir-544,0,0,0,0,0,0
mmu-mir-382,0,0,0,0,0,0
mmu-mir-134,0,0,0,0,0,0
mmu-mir-668,0,0,0,0,0,0
mmu-mir-485,0,0,0,0,0,0
mmu-mir-453,0,0,0,0,0,0
mmu-mir-154,0,0,0,0,0,0
mmu-mir-496a,0,0,0,0,0,0
mmu-mir-377,0,0,0,0,0,0
mmu-mir-541,0,0,0,0,0,0
mmu-mir-409,0,0,0,0,0,0
mmu-mir-412,0,0,0,0,0,0
mmu-mir-369,0,0,0,0,0,0
mmu-mir-410,0,0,0,0,0,0
mmu-mir-3072,0,0,0,0,0,0
mmu-mir-1247,3,2,3,2,2,3
mmu-mir-3073a,0,0,0,0,0,0
mmu-mir-3073b,0,0,0,0,0,0
mmu-mir-203,2,0,0,0,0,0
mmu-mir-6939,5,0,1,0,1,0
mmu-mir-6940,0,0,0,0,0,0
mmu-mir-6941,0,1,0,0,0,0
mmu-mir-7094-1,0,0,0,0,0,0
mmu-mir-7094-2,0,0,0,0,0,0
mmu-mir-6388,0,0,0,0,0,0
mmu-mir-153,0,1,0,0,0,0
mmu-mir-466i,5,3,4,5,10,6
mmu-mir-6942,0,0,0,0,0,1
mmu-mir-1896,1,0,0,1,0,0
mmu-mir-1983,18,28,26,23,24,19
mmu-mir-6368,0,0,0,0,0,0
mmu-mir-5124a,0,0,0,0,0,0
mmu-let-7d,4774,6454,4978,4277,5213,4491
mmu-let-7f-1,18073,24850,18896,19149,23003,20727
mmu-let-7a-1,33105,45800,34138,33526,40537,35659
mmu-mir-683-1,0,0,0,0,0,0
mmu-mir-683-2,0,0,0,0,0,0
mmu-mir-6943,0,0,0,0,0,0
mmu-mir-6944,0,0,0,0,0,0
mmu-mir-6945,0,0,0,1,1,1
mmu-mir-874,0,0,0,0,1,0
mmu-mir-6369,0,0,0,0,0,0
mmu-mir-7a-1,180,204,164,135,184,176
mmu-mir-713,0,0,0,0,0,0
mmu-mir-23b,6175,8663,6739,8131,10510,8770
mmu-mir-27b,269,254,241,237,331,261
mmu-mir-3074-1,1,0,2,1,4,4
mmu-mir-24-1,5492,7089,5693,5629,6798,6036
mmu-mir-466f-4,3,3,6,6,1,3
mmu-mir-692-3,794,1449,698,1055,663,1122
mmu-mir-682,345,526,295,501,286,493
mmu-mir-3961,0,0,0,0,0,0
mmu-mir-9-2,0,0,3,0,0,0
mmu-mir-5624,0,0,0,0,0,0
mmu-mir-582,2,0,2,2,1,5
mmu-mir-1904,0,0,0,0,0,0
mmu-mir-449c,0,0,0,0,0,0
mmu-mir-449b,0,0,0,0,0,0
mmu-mir-449a,0,0,0,0,0,0
mmu-mir-5124b,0,0,0,0,0,0
mmu-mir-6946,1,0,0,0,0,0
mmu-mir-7210,0,0,0,0,0,0
mmu-mir-3075,0,0,0,0,0,0
mmu-mir-7672,0,0,1,1,0,0
mmu-mir-6947,0,0,0,0,0,0
mmu-mir-3076,2,3,4,2,5,0
mmu-mir-346,0,0,0,0,0,0
mmu-mir-327,0,0,0,0,0,0
mmu-mir-5131,6,6,3,6,2,2
mmu-mir-378c,200,206,155,163,193,235
mmu-mir-686,3,2,2,5,3,4
mmu-mir-6948,0,1,0,1,0,0
mmu-mir-208a,0,0,0,0,0,0
mmu-mir-208b,0,0,0,0,0,0
mmu-mir-6949,0,0,0,0,0,0
mmu-mir-3077,0,0,3,1,0,0
mmu-mir-719,0,2,0,0,0,0
mmu-mir-16-1,150,160,153,137,200,163
mmu-mir-15a,38,41,43,25,17,20
mmu-mir-8098,1,4,2,1,0,4
mmu-mir-6541,0,0,0,0,0,2
mmu-mir-598,0,4,0,0,3,0
mmu-mir-124-1,0,0,1,0,0,1
mmu-mir-3078,0,0,0,0,0,0
mmu-mir-6539,0,0,3,0,1,2
mmu-mir-6950,0,0,0,0,0,0
mmu-mir-320,73,75,71,53,73,59
mmu-mir-687,0,0,0,0,0,0
mmu-mir-1971,0,0,0,0,0,0
mmu-mir-759,0,0,0,0,0,0
mmu-mir-5130,5,6,5,5,3,5
mmu-mir-6390,1,3,0,0,0,3
mmu-mir-17,221,221,170,124,167,184
mmu-mir-18a,23,39,29,8,19,13
mmu-mir-19a,201,294,240,216,260,220
mmu-mir-20a,20,20,12,14,21,18
mmu-mir-19b-1,334,497,390,324,452,363
mmu-mir-92a-1,793,943,725,569,574,697
mmu-mir-6239,1,1,0,4,0,1
mmu-mir-6241,0,0,0,0,0,0
mmu-mir-6391,0,0,0,2,0,0
mmu-mir-1898,0,0,0,0,0,0
mmu-mir-7212,0,0,0,0,2,0
mmu-mir-7117,1,0,2,1,0,0
mmu-mir-3964,0,0,0,0,0,0
mmu-mir-599,0,0,0,0,0,0
mmu-mir-875,0,0,0,0,0,0
mmu-mir-8097,0,1,2,0,1,1
mmu-mir-6951,2,0,1,0,1,0
mmu-mir-1907,0,0,0,0,0,0
mmu-mir-28c,2,2,5,5,1,2
mmu-mir-30b,25,25,21,20,28,26
mmu-mir-30d,47,64,39,42,47,35
mmu-mir-151,172,242,175,141,224,140
mmu-mir-6952,0,1,0,0,0,0
mmu-mir-1942,0,0,0,0,0,0
mmu-mir-6953,2,5,0,0,3,1
mmu-mir-3079,0,0,0,0,0,0
mmu-mir-6954,0,2,1,0,3,0
mmu-mir-7676-1,1,0,0,0,0,0
mmu-mir-7676-2,1,0,0,0,0,0
mmu-mir-6955,0,0,0,0,0,0
mmu-mir-6956,0,1,0,0,0,0
mmu-mir-1943,1,1,0,0,0,2
mmu-mir-7213,2,3,1,2,3,0
mmu-mir-6957,0,0,0,0,0,0
mmu-mir-5113,4,0,3,1,0,2
mmu-mir-33,1,9,7,2,10,5
mmu-mir-7684,0,0,0,0,0,0
mmu-mir-3080,0,0,0,0,0,0
mmu-mir-6392,0,0,0,0,0,0
mmu-mir-1249,17,26,16,16,18,12
mmu-let-7c-2,11046,16206,11309,11160,13271,11633
mmu-let-7b,4558,6848,4601,4547,5598,4951
mmu-mir-6393,0,0,0,0,0,0
mmu-mir-7118,0,0,0,1,0,0
mmu-mir-6958,0,1,0,0,0,0
mmu-mir-6959,2,1,0,0,3,0
mmu-mir-7648,2,1,0,0,0,1
mmu-mir-1291,136,266,161,203,162,256
mmu-mir-6960,0,1,0,1,0,1
mmu-mir-6961,0,0,0,0,0,0
mmu-mir-6962,0,0,0,0,0,0
mmu-mir-1941,0,0,0,0,0,0
mmu-mir-688,1,4,6,4,2,3
mmu-mir-196a-2,1,7,1,4,4,5
mmu-mir-615,6,6,7,7,6,6
mmu-mir-148b,18,19,20,13,6,15
mmu-mir-6963,0,0,0,0,1,0
mmu-mir-6364,0,0,0,0,0,0
mmu-mir-1945,0,0,0,0,0,0
mmu-mir-193b,0,2,2,0,1,0
mmu-mir-365-1,41,66,53,19,35,24
mmu-mir-6365,0,0,0,0,0,0
mmu-mir-484,105,122,75,80,100,90
mmu-mir-130b,589,737,585,438,544,512
mmu-mir-301b,37,45,43,30,42,31
mmu-mir-6366,0,0,0,0,0,0
mmu-mir-1306,41,47,39,38,22,31
mmu-mir-3618,0,0,0,2,0,0
mmu-mir-185,129,143,117,137,140,156
mmu-mir-1224,0,0,1,0,0,0
mmu-mir-7680,0,0,0,0,1,0
mmu-mir-8095,0,0,0,0,0,0
mmu-mir-6362,0,0,0,0,0,0
mmu-mir-28a,103,158,102,62,83,81
mmu-mir-690,20,51,28,26,37,49
mmu-mir-1946a,0,0,0,0,0,0
mmu-mir-1947,0,0,0,0,0,0
mmu-mir-6540,0,0,0,0,0,0
mmu-mir-568,0,0,0,0,0,0
mmu-mir-3470b,0,0,0,0,0,0
mmu-mir-3081,0,0,0,0,0,0
mmu-mir-6363,0,0,0,0,0,0
mmu-mir-5118,0,0,0,0,0,0
mmu-mir-691,0,0,0,0,0,0
mmu-mir-99a,0,2,2,1,0,0
mmu-let-7c-1,10950,15950,11153,11090,13168,11485
mmu-mir-125b-2,14,22,17,4,9,5
mmu-mir-155,7,8,9,3,8,4
mmu-mir-6367,0,0,0,0,0,0
mmu-mir-802,0,0,0,0,0,0
mmu-mir-6964,0,0,1,0,0,1
mmu-mir-692-1,487,821,384,522,354,637
mmu-mir-99b,0,0,0,0,0,0
mmu-let-7e,6534,9329,6842,6615,8036,6954
mmu-mir-125a,0,0,1,0,0,0
mmu-mir-5125,1,0,0,0,0,0
mmu-mir-5134,0,0,1,2,1,0
mmu-mir-6965,0,0,2,0,0,0
mmu-mir-3547,0,0,0,0,0,0
mmu-mir-6966,0,0,0,0,0,1
mmu-mir-3082,1,1,0,0,0,0
mmu-mir-6967-1,0,3,0,1,3,1
mmu-mir-6968,0,0,0,0,0,0
mmu-mir-3083,0,1,0,0,0,0
mmu-mir-7677,0,0,0,0,0,0
mmu-mir-7214,0,0,0,0,0,0
mmu-mir-7216,0,0,0,0,0,0
mmu-mir-7217,0,0,0,0,0,0
mmu-mir-7218,0,0,0,0,0,0
mmu-mir-6969,0,0,0,0,0,0
mmu-mir-7667,0,0,0,0,0,0
mmu-mir-6967-2,0,3,0,1,3,1
mmu-mir-219a-1,2,2,5,0,2,1
mmu-mir-219c,0,1,1,0,0,0
mmu-mir-6971,3,0,0,0,0,0
mmu-mir-6970,1,0,1,0,1,0
mmu-mir-6972,0,0,0,0,0,0
mmu-mir-6973a,0,0,0,0,0,0
mmu-mir-6974,0,0,0,0,0,0
mmu-mir-6975,1,0,0,2,1,1
mmu-mir-8094,1,0,1,0,2,1
mmu-mir-1894,0,0,0,1,1,0
mmu-mir-877,152,174,132,102,109,109
mmu-mir-693,0,0,0,0,0,0
mmu-mir-6976,0,2,0,1,0,0
mmu-mir-7b,90,78,70,38,57,70
mmu-mir-6977,0,0,0,0,0,0
mmu-mir-6978,0,0,0,0,0,0
mmu-mir-6420,0,0,0,0,0,0
mmu-mir-5709,0,0,0,0,0,0
mmu-mir-1195,0,0,0,0,0,0
mmu-mir-1893,2,2,0,2,0,1
mmu-mir-133a-1,0,0,0,0,0,0
mmu-mir-1b,2,5,1,1,0,0
mmu-mir-1a-2,0,1,0,1,0,0
mmu-mir-1901,0,2,0,0,0,0
mmu-mir-1948,0,0,0,0,0,0
mmu-mir-6360,0,0,0,0,0,0
mmu-mir-187,0,0,0,0,0,0
mmu-mir-6361,0,0,0,0,0,0
mmu-mir-1949,1258,3228,1505,2426,1797,1809
mmu-mir-6979,0,0,0,0,2,0
mmu-mir-6981,2,3,0,1,1,0
mmu-mir-6980,0,0,1,0,0,0
mmu-mir-1258,0,0,0,0,0,0
mmu-mir-6355,0,0,0,0,0,0
mmu-mir-5107,2,5,3,0,2,0
mmu-mir-7220,0,0,0,0,0,0
mmu-mir-6982,0,0,0,0,0,0
mmu-mir-6983,0,0,0,1,0,0
mmu-mir-378a,391,441,338,318,340,403
mmu-mir-145a,0,0,0,0,0,0
mmu-mir-143,0,1,0,0,0,1
mmu-mir-122,1,0,0,0,0,1
mmu-mir-694,0,0,0,0,0,0
mmu-mir-7219,1,1,2,0,0,0
mmu-mir-6356,0,0,0,0,0,0
mmu-mir-145b,0,0,0,0,0,0
mmu-mir-6357,0,0,0,0,0,0
mmu-mir-6358,0,0,0,0,0,0
mmu-mir-5127,0,0,0,0,0,0
mmu-mir-5112,0,1,0,0,0,0
mmu-mir-6359,0,0,1,0,0,0
mmu-mir-6984,0,2,2,0,2,3
mmu-mir-6985,0,1,0,2,4,1
mmu-mir-6986,0,2,0,0,0,0
mmu-mir-6987,1,0,0,0,1,0
mmu-mir-6988,0,2,0,0,1,0
mmu-mir-194-2,11,7,3,6,2,6
mmu-mir-192,6,7,6,1,6,4
mmu-mir-6989,0,1,0,0,2,0
mmu-mir-5046,0,0,0,0,0,0
mmu-mir-6990,0,0,0,0,0,0
mmu-mir-6991,0,1,0,0,1,0
mmu-mir-6992,0,0,0,0,0,0
mmu-mir-5136,138,269,155,147,102,105
mmu-mir-6993,0,0,0,1,0,1
mmu-mir-6994,0,0,3,1,0,0
mmu-mir-496b,0,0,0,0,0,0
mmu-mir-204,0,0,0,0,0,0
mmu-mir-1192,0,0,0,0,0,0
mmu-mir-3084-1,850,1417,909,984,1016,813
mmu-mir-101b,41,45,26,27,42,36
mmu-mir-3970,3,1,6,1,7,3
mmu-mir-107,102,88,81,45,69,73
mmu-mir-1950,0,0,0,0,0,0
mmu-mir-8092,1,0,0,1,0,0
mmu-mir-8091,5,0,0,0,0,0
mmu-mir-3085,0,0,0,0,0,0
mmu-mir-5114,12,14,17,9,12,19
mmu-mir-6405,0,0,0,0,0,0
mmu-mir-146b,286,384,291,270,403,315
mmu-mir-6995,0,0,0,0,0,0
mmu-mir-8090,0,0,0,0,0,0
mmu-mir-6407,0,0,0,0,0,0
mmu-mir-6715,0,0,0,0,0,0
mmu-mir-5623,0,0,0,0,0,0
mmu-mir-3086,2,0,1,0,0,0
mmu-mir-3084-2,848,1419,910,983,1016,816
mmu-mir-466m,11,17,14,11,14,20
mmu-mir-466f-1,15,6,7,2,2,4
mmu-mir-669f,122,114,87,72,67,94
mmu-mir-669e,9,5,6,4,13,14
mmu-mir-669b,21,18,26,17,15,12
mmu-mir-669d,19,27,23,20,33,37
mmu-mir-466f-2,27,13,16,22,11,24
mmu-mir-669l,113,146,99,102,145,136
mmu-mir-669d-2,24,24,21,17,32,34
mmu-mir-466f-3,29,24,17,26,17,30
mmu-mir-297a-2,28,35,35,21,35,33
mmu-mir-466o,32,29,16,18,23,34
mmu-mir-467c,51,71,42,51,56,58
mmu-mir-466b-1,317,311,261,221,238,302
mmu-mir-669a-3,89,103,82,63,95,94
mmu-mir-669k,2,2,0,1,1,3
mmu-mir-467a-1,189,232,193,183,235,218
mmu-mir-466b-8,361,328,260,258,242,311
mmu-mir-669a-1,298,274,230,211,222,305
mmu-mir-669g,0,0,0,0,0,0
mmu-mir-669j,5,7,4,2,2,0
mmu-mir-467a-2,187,238,184,168,231,202
mmu-mir-466e,377,311,261,236,218,305
mmu-mir-669a-4,326,273,232,228,205,324
mmu-mir-467b,81,108,54,55,83,79
mmu-mir-466c-1,539,488,466,321,319,435
mmu-mir-669a-5,345,267,208,210,218,287
mmu-mir-467a-3,210,254,179,173,220,216
mmu-mir-466c-2,517,513,450,319,316,446
mmu-mir-669a-6,332,285,228,224,216,330
mmu-mir-467a-4,224,248,214,160,236,224
mmu-mir-466b-4,319,318,219,218,246,301
mmu-mir-669a-7,317,301,224,177,224,287
